Ticker,Fund Name,1 Yr TR,Expense ratio,AUM
IUSG,iShares Core S&P U.S. Growth ETF,15.68%,0.04%,$26.00B
CGDV,Capital Group Dividend Value ETF,20.79%,0.33%,$25.97B
VGSH,Vanguard Short-Term Treasury ETF,5.11%,0.03%,$25.62B
XLI,State Street Industrial Select Sector SPDR ETF,15.19%,0.08%,$25.60B
GLDM,SPDR Gold Minishares Trust of beneficial interest,62.14%,0.10%,$25.58B
USHY,iShares Broad USD High Yield Corporate Bond ETF,7.71%,0.08%,$25.45B
VXF,Vanguard Extended Market ETF,5.68%,0.05%,$25.33B
GDX,VanEck Gold Miners ETF,135.65%,0.51%,$25.17B
XLY,State Street Consumer Discretionary Select Sector SPDR ETF,3.03%,0.08%,$24.56B
ACWI,iShares MSCI ACWI ETF,17.38%,0.32%,$24.50B
IUSV,iShares Core S&P US Value ETF,9.39%,0.04%,$24.49B
MDY,SPDR S&P Midcap 400 ETF Trust,2.71%,0.24%,$24.46B
